"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000025279",1249.50129946811,-5.59555485874997,0.181385046723377,-30.8490416372829,5.76989788938535e-209,3.68381753428666e-206
"ENSMUSG00000047977",1807.4533394148,-8.4430666735675,0.277233919392777,-30.4546669183204,1.03904231003101e-203,6.43870071471865e-201
"ENSMUSG00000025813",912.066982296634,-5.18438242066508,0.170959093751356,-30.3252801995152,5.32291819430535e-202,3.20424466959484e-199
"ENSMUSG00000031304",1009.73087897163,-3.94356012587357,0.130753879593113,-30.1601768004541,7.88905367789445e-200,4.61706866498773e-197
"ENSMUSG00000020826",1164.92718313952,-7.71447683539078,0.256235464701099,-30.106983217135,3.92578207853692e-199,2.23546763818093e-196
"ENSMUSG00000024600",720.825630169513,-6.07147396854679,0.201875457379413,-30.0753447068894,1.01823344160384e-198,5.64556852135561e-196
"ENSMUSG00000056492",10421.0738605058,-4.47086377741551,0.149055964274315,-29.9945312432286,1.15649768282105e-197,6.24775632804017e-195
"ENSMUSG00000045975",3889.51847969437,-3.38041741243259,0.113794162262585,-29.7064220626022,6.34373407162178e-194,3.34140332887498e-191
"ENSMUSG00000016495",3331.92238518394,4.32871065756659,0.145807939985993,29.6877567708756,1.10496583400115e-193,5.67817686745615e-191
"ENSMUSG00000050530",1181.90924650808,-2.48729498682642,0.0841375894678541,-29.5622325592858,4.57273242392043e-192,2.29387855808523e-189
"ENSMUSG00000060962",1133.17257631611,-5.92033759690413,0.20058361355002,-29.5155595819784,1.8180609381304e-191,8.90807579196962e-189
"ENSMUSG00000006200",1555.69910746035,-4.58628789952857,0.156228505257925,-29.3562809933875,1.98677116036908e-189,9.30206257284801e-187
"ENSMUSG00000097200",1555.69910746035,-4.58628789952857,0.156228505257925,-29.3562809933875,1.98677116036908e-189,9.30206257284801e-187
"ENSMUSG00000031622",8505.6629168815,-3.31220543489237,0.11327873375112,-29.2394284894593,6.11920740817236e-188,2.80273001919094e-185
"ENSMUSG00000054263",11216.5969727621,-2.69523645074949,0.0921939603496088,-29.2344144944949,7.08654172234499e-188,3.17673079889546e-185
"ENSMUSG00000027611",2223.25715306768,-4.24652368408589,0.146476983409188,-28.9910645703503,8.52808172571711e-185,3.74329487248195e-182
"ENSMUSG00000022895",6005.63973855878,-1.65782942072388,0.0575691355601735,-28.7971914914555,2.32587556611226e-182,1.00007902657998e-179
"ENSMUSG00000038580",3458.15309727139,-5.82657702988827,0.202368709085148,-28.7918871263674,2.71018548536561e-182,1.14201795982336e-179
"ENSMUSG00000020658",673.986511942867,-3.82872746446244,0.133045580072107,-28.7775622639052,4.09534417157695e-182,1.69185894805794e-179
"ENSMUSG00000045284",1029.80431081018,-4.60292647716763,0.160218481418657,-28.7290606951891,1.6545501201811e-181,6.70379163117225e-179
"ENSMUSG00000044285",3311.8119842079,-5.06966483145218,0.176620640855536,-28.7036940127447,3.43099253947782e-181,1.36391663800487e-178
"ENSMUSG00000037411",9684.63372509597,-5.01089653219133,0.175116370832057,-28.6146663980203,4.41417899953485e-180,1.72226550631852e-177
"ENSMUSG00000026110",5834.03873626445,-3.72109177514503,0.130546061401322,-28.5040524026668,1.04349975518979e-178,3.99736297128975e-176
